dataset,shared_label,source_url,split,image_id,local_path,download_status
PlantDoc,tomato_late_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20late%20blight/Fig.%252014_opta.jpg,train,image_0000,/content/selected_images/PlantDoc/train/tomato_late_blight/image_0000.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/62190912-91d4-45f0-8156-96de7a6fc4d8___Keller.St_CG%202032.JPG,train,image_0001,/content/selected_images/PlantVillage/train/tomato_septoria_leaf_spot/image_0001.jpg,cached
PlantVillage,tomato_late_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/bb058b97-a4b8-4a36-8179-2a8fa186085c___RS_Late.B%204927.JPG,train,image_0002,/content/selected_images/PlantVillage/train/tomato_late_blight/image_0002.jpg,cached
PlantDoc,tomato_leaf_mould,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20mold%20leaf/leaf_mold_tomato5x1200.jpg,train,image_0003,/content/selected_images/PlantDoc/train/tomato_leaf_mould/image_0003.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/septoria_leaf_spot_of_tomato-1500x750.jpg,train,image_0004,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0004.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/0f4e562d-77ee-47c2-8ee9-34b391bc0fc3___RS_Erly.B%209434.JPG,test,image_0005,/content/selected_images/PlantVillage/test/tomato_early_blight/image_0005.jpg,cached
PlantVillage,tomato_bacterial_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Bacterial_spot/dbbb04ee-e2ea-4c76-bf67-c3a0aa708407___UF.GRC_BS_Lab%20Leaf%200508.JPG,train,image_0006,/content/selected_images/PlantVillage/train/tomato_bacterial_spot/image_0006.jpg,cached
PlantVillage,tomato_late_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B%205572.JPG,train,image_0007,/content/selected_images/PlantVillage/train/tomato_late_blight/image_0007.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/a82938f7-bbd4-4ccd-8482-f596735744a5___JR_B.Spot%203305.JPG,train,image_0008,/content/selected_images/PlantVillage/train/pepper_leaf_spot/image_0008.jpg,cached
PlantDoc,tomato_leaf_mould,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20mold%20leaf/top-leaf-mold-Fulva-fulvea-WN.jpg,train,image_0009,/content/selected_images/PlantDoc/train/tomato_leaf_mould/image_0009.jpg,cached
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/file.php%3Fid%3D5336%26t%3D1.jpg,train,image_0010,/content/selected_images/PlantDoc/train/pepper_leaf_spot/image_0010.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/dd2bf52d-685d-4feb-ac7e-846cbd29d9c3___JR_B.Spot%208891.JPG,test,image_0011,/content/selected_images/PlantVillage/test/pepper_leaf_spot/image_0011.jpg,cached
PlantVillage,tomato_bacterial_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Bacterial_spot/3ff6609e-918b-4642-8798-10ed02b1d36d___GCREC_Bact.Sp%206050.JPG,train,image_0012,/content/selected_images/PlantVillage/train/tomato_bacterial_spot/image_0012.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/septoria-leafspot-on-tomato-leaf-rp-c.jpg,train,image_0013,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0013.jpg,cached
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/image_1500x1500%25253E.jpeg%3F1472603885.jpg,test,image_0014,/content/selected_images/PlantDoc/test/pepper_leaf_spot/image_0014.jpg,cached
